ingested_at_utc	doc_id	source_system	document_type	jurisdiction	title	doc_date	url	citation	entity_tags	status	extracted_from
20260215T163448Z	doc-courtlistener-91fb18783934	courtlistener	court_record	District Court, S.D. New York	Giuffre v. Maxwell	2016-02-29	https://www.courtlistener.com/opinion/7318626/giuffre-v-maxwell/	15 Civ. 7433 (RWS)	jeffrey_epstein,ghislaine_maxwell	Published	courtlistener:Ghislaine Maxwell
20260215T163448Z	doc-courtlistener-0baf3159397f	courtlistener	court_record	District Court, S.D. New York	Giuffre v. Maxwell	2016-11-21	https://www.courtlistener.com/opinion/7322971/giuffre-v-maxwell/	15 Civ. 7433	jeffrey_epstein,ghislaine_maxwell	Published	courtlistener:Ghislaine Maxwell
20260215T163448Z	doc-courtlistener-26b97f011ccc	courtlistener	court_record	District Court, S.D. Illinois	Giuffre v. Maxwell	2018-08-27	https://www.courtlistener.com/opinion/7331533/giuffre-v-maxwell/	15 Civ. 7433	jeffrey_epstein,ghislaine_maxwell	Published	courtlistener:Ghislaine Maxwell
20260215T163448Z	doc-courtlistener-024c3511ac6a	courtlistener	court_record	Court of Appeals for the Second Circuit	Brown v. Maxwell Dershowitz v. Giuffre	2019-07-03	https://www.courtlistener.com/opinion/4636326/brown-v-maxwell-dershowitz-v-giuffre/	18-2868 16-3945-cv(L)	jeffrey_epstein,ghislaine_maxwell	Published	courtlistener:Ghislaine Maxwell
20260215T163448Z	doc-courtlistener-3374601313ac	courtlistener	court_record	Court of Appeals for the Second Circuit	Brown v. Maxwell Dershowitz v. Giuffre	2019-07-03	https://www.courtlistener.com/opinion/4636340/brown-v-maxwell-dershowitz-v-giuffre/	18-2868 16-3945-cv(L)	jeffrey_epstein,ghislaine_maxwell	Published	courtlistener:Ghislaine Maxwell
20260215T163448Z	doc-govinfo-transcript-a8f202600243	govinfo_wssearch	congressional_record_transcript	US Congress	Jeffrey Epstein (Executive Session)	2019-07-09	https://www.govinfo.gov/content/pkg/CREC-2019-07-09/html/CREC-2019-07-09-pt1-PgS4708-3.htm	165 Cong. Rec. S4708  - Jeffrey Epstein (Executive Session)	jeffrey_epstein,ghislaine_maxwell,congressional_transcript	published	"govinfo_wssearch:""Jeffrey Epstein"" collection:CREC"
20260215T163448Z	doc-courtlistener-176880d5475c	courtlistener	court_record	Court of Appeals for the Second Circuit	United States v. Maxwell	2024-09-17	https://www.courtlistener.com/opinion/10119519/united-states-v-maxwell/	22-1426	jeffrey_epstein,ghislaine_maxwell	Published	courtlistener:Ghislaine Maxwell
20260215T163448Z	doc-govinfo-transcript-06ad6deaa89c	govinfo_wssearch	congressional_record_transcript	US Congress	Jeffrey Epstein (Executive Calendar)	2025-02-05	https://www.govinfo.gov/content/pkg/CREC-2025-02-05/html/CREC-2025-02-05-pt1-PgS609.htm	171 Cong. Rec. S609  - Jeffrey Epstein (Executive Calendar)	jeffrey_epstein,ghislaine_maxwell,congressional_transcript	published	"govinfo_wssearch:""Jeffrey Epstein"" collection:CREC"
20260215T163448Z	doc-doj-opa-first-phase	justice_opa	agency_release	US DOJ	Attorney General Pamela Bondi releases first phase of declassified Epstein files	2025-02-27	https://www.justice.gov/opa/pr/attorney-general-pamela-bondi-releases-first-phase-declassified-epstein-files	DOJ OPA	doj,epstein_files	published	justice_opa
20260215T163448Z	doc-govtrack-hr4405	govtrack	congressional_bill	US Congress	Epstein Files Transparency Act (H.R. 4405) - GovTrack.us	2025-07-15	https://www.govtrack.us/congress/bills/119/hr4405	H.R. 4405	epstein_files_transparency_act	enacted	govtrack
20260215T163448Z	doc-govtrack-action-01-19481d7c69e0	govtrack	bill_action	US Congress	Introduced	2025-07-15	https://www.govtrack.us/congress/bills/119/hr4405#status-row-grid	H.R. 4405 action	epstein_files_transparency_act	recorded	govtrack_status_row
20260215T163448Z	doc-govinfo-transcript-3a3036445819	govinfo_wssearch	congressional_record_transcript	US Congress	RELEASE THE EPSTEIN FILES	2025-07-16	https://www.govinfo.gov/content/pkg/CREC-2025-07-16/html/CREC-2025-07-16-pt1-PgH3324-2.htm	171 Cong. Rec. H3324  - RELEASE THE EPSTEIN FILES	jeffrey_epstein,ghislaine_maxwell,congressional_transcript	published	"govinfo_wssearch:""Jeffrey Epstein"" collection:CREC"
20260215T163448Z	doc-govinfo-transcript-2907b4a49c3e	govinfo_wssearch	congressional_record_transcript	US Congress	Jeffrey Epstein (Executive Session)	2025-07-17	https://www.govinfo.gov/content/pkg/CREC-2025-07-17/html/CREC-2025-07-17-pt1-PgS4440-3.htm	171 Cong. Rec. S4440  - Jeffrey Epstein (Executive Session)	jeffrey_epstein,ghislaine_maxwell,congressional_transcript	published	"govinfo_wssearch:""Jeffrey Epstein"" collection:CREC"
20260215T163448Z	doc-courtlistener-a162b75715cf	courtlistener	court_record	Court of Appeals for the Second Circuit	Giuffre v. Maxwell	2025-07-23	https://www.courtlistener.com/opinion/10639374/giuffre-v-maxwell/	24-182	jeffrey_epstein,ghislaine_maxwell	Published	courtlistener:Jeffrey Epstein
20260215T163448Z	doc-govinfo-transcript-3a1bb17f6c87	govinfo_wssearch	congressional_record_transcript	US Congress	Jeffrey Epstein (Executive Session)	2025-07-24	https://www.govinfo.gov/content/pkg/CREC-2025-07-24/html/CREC-2025-07-24-pt1-PgS4687-9.htm	171 Cong. Rec. S4687  - Jeffrey Epstein (Executive Session)	jeffrey_epstein,ghislaine_maxwell,congressional_transcript	published	"govinfo_wssearch:""Jeffrey Epstein"" collection:CREC"
20260215T163448Z	doc-govinfo-transcript-14f372471989	govinfo_wssearch	congressional_record_transcript	US Congress	SENATE RESOLUTION 335--CALLING ON FEDERAL AND STATE COURTS TO PROVIDE FULL TRANSPARENCY TO THE PEOPLE OF THE UNITED STATES BY UNSEALING MATERIALS CONCERNING MR. JEFFREY EPSTEIN	2025-07-24	https://www.govinfo.gov/content/pkg/CREC-2025-07-24/html/CREC-2025-07-24-pt1-PgS4703.htm	171 Cong. Rec. S4703  - SENATE RESOLUTION 335--CALLING ON FEDERAL AND STATE COURTS TO PROVIDE FULL TRANSPARENCY TO THE...	jeffrey_epstein,ghislaine_maxwell,congressional_transcript	published	"govinfo_wssearch:""Jeffrey Epstein"" collection:CREC"
20260215T163448Z	doc-govinfo-transcript-5f5797d2fdf5	govinfo_wssearch	congressional_record_transcript	US Congress	Nomination of Emil J. Bove III (Executive Session)	2025-07-29	https://www.govinfo.gov/content/pkg/CREC-2025-07-29/html/CREC-2025-07-29-pt1-PgS4789.htm	171 Cong. Rec. S4789  - Nomination of Emil J. Bove III (Executive Session)	jeffrey_epstein,ghislaine_maxwell,congressional_transcript	published	"govinfo_wssearch:""Ghislaine Maxwell"" collection:CREC"
20260215T163448Z	doc-govinfo-transcript-b86d98d3e693	govinfo_wssearch	congressional_record_transcript	US Congress	Jeffrey Epstein (Executive Session)	2025-07-30	https://www.govinfo.gov/content/pkg/CREC-2025-07-30/html/CREC-2025-07-30-pt1-PgS4858-2.htm	171 Cong. Rec. S4858  - Jeffrey Epstein (Executive Session)	jeffrey_epstein,ghislaine_maxwell,congressional_transcript	published	"govinfo_wssearch:""Jeffrey Epstein"" collection:CREC"
20260215T163448Z	doc-govinfo-transcript-32517ca53042	govinfo_wssearch	congressional_record_transcript	US Congress	Text of Senate Amendment 3140	2025-07-30	https://www.govinfo.gov/content/pkg/CREC-2025-07-30/html/CREC-2025-07-30-pt1-PgS4921-5.htm	171 Cong. Rec. S4921  - Text of Senate Amendment 3140	jeffrey_epstein,ghislaine_maxwell,congressional_transcript	published	"govinfo_wssearch:""Jeffrey Epstein"" collection:CREC"
20260215T163448Z	doc-govinfo-transcript-9f68ddb1066b	govinfo_wssearch	congressional_record_transcript	US Congress	Jeffrey Epstein (Executive Calendar)	2025-08-02	https://www.govinfo.gov/content/pkg/CREC-2025-08-02/html/CREC-2025-08-02-pt1-PgS5502-3.htm	171 Cong. Rec. S5502  - Jeffrey Epstein (Executive Calendar)	jeffrey_epstein,ghislaine_maxwell,congressional_transcript	published	"govinfo_wssearch:""Jeffrey Epstein"" collection:CREC"
20260215T163448Z	doc-govinfo-transcript-69c3f9d9ce3c	govinfo_wssearch	congressional_record_transcript	US Congress	Daily Digest/House Committee Meetings	2025-09-02	https://www.govinfo.gov/content/pkg/CREC-2025-09-02/html/CREC-2025-09-02-pt1-PgD857.htm	171 Cong. Rec. D857  - Daily Digest/House Committee Meetings	jeffrey_epstein,ghislaine_maxwell,congressional_transcript	published	"govinfo_wssearch:""Ghislaine Maxwell"" collection:CREC"
